Date,Open,High,Low,Close,Adj Close,Volume
2015-08-17,47509.000000,48084.000000,45677.000000,45720.000000,45720.000000,15008500
2015-08-24,45715.000000,47997.000000,42749.000000,47154.000000,47154.000000,20224500
2015-08-31,47151.000000,47532.000000,45278.000000,46498.000000,46498.000000,20350300
2015-09-07,46501.000000,47840.000000,45592.000000,46401.000000,46401.000000,14648700
2015-09-14,46400.000000,49396.000000,46218.000000,47264.000000,47264.000000,20027400
2015-09-21,47263.000000,47391.000000,44183.000000,44831.000000,44831.000000,18223300
2015-09-28,44832.000000,47033.000000,43767.000000,47033.000000,47033.000000,18338300
2015-10-05,47033.000000,49752.000000,47019.000000,49338.000000,49338.000000,20891400
2015-10-12,49339.000000,49339.000000,46321.000000,47236.000000,47236.000000,17553500
2015-10-19,47242.000000,48837.000000,46623.000000,47597.000000,47597.000000,16104300
2015-10-26,47607.000000,47875.000000,45401.000000,45869.000000,45869.000000,16293800
2015-11-02,45869.000000,49054.000000,45866.000000,46919.000000,46919.000000,14511100
2015-11-09,46915.000000,47460.000000,45397.000000,46517.000000,46517.000000,14423400
2015-11-16,46519.000000,48227.000000,46399.000000,48139.000000,48139.000000,10452100
2015-11-23,48138.000000,48745.000000,45812.000000,45873.000000,45873.000000,13731200
2015-11-30,45871.000000,47142.000000,44579.000000,45361.000000,45361.000000,23462900
2015-12-07,45361.000000,46438.000000,44232.000000,45263.000000,45263.000000,17423100
2015-12-14,45258.000000,46251.000000,43690.000000,43911.000000,43911.000000,15957900
2015-12-21,43912.000000,44233.000000,43137.000000,44015.000000,44015.000000,8531200
2015-12-28,44016.000000,44087.000000,43217.000000,43350.000000,43350.000000,6148300
2016-01-04,43349.000000,43349.000000,40463.000000,40612.000000,40612.000000,16723300
2016-01-11,40612.000000,40974.000000,37986.000000,38569.000000,38569.000000,17984700
2016-01-18,38572.000000,38857.000000,37046.000000,38031.000000,38031.000000,17135600
2016-01-25,38031.000000,40406.000000,37112.000000,40406.000000,40406.000000,18195900
2016-02-01,40397.000000,41444.000000,38596.000000,40592.000000,40592.000000,21382600
2016-02-08,40592.000000,40592.000000,38928.000000,39808.000000,39808.000000,10821800
2016-02-15,39808.000000,42436.000000,39808.000000,41543.000000,41543.000000,17756300
2016-02-22,41544.000000,43601.000000,41211.000000,41593.000000,41593.000000,19157800
2016-02-29,41599.000000,50024.000000,41599.000000,49085.000000,49085.000000,33408500
2016-03-07,49089.000000,50038.000000,47922.000000,49639.000000,49639.000000,32571100
2016-03-14,49639.000000,51308.000000,46521.000000,50815.000000,50815.000000,28107800
2016-03-21,50816.000000,51370.000000,48778.000000,49657.000000,49657.000000,14932200
2016-03-28,49687.000000,52262.000000,49361.000000,50562.000000,50562.000000,20709800
2016-04-04,50556.000000,50556.000000,47874.000000,50293.000000,50293.000000,19020200
2016-04-11,50303.000000,53844.000000,50078.000000,53228.000000,53228.000000,26114000
2016-04-18,53229.000000,54054.000000,52305.000000,52908.000000,52908.000000,18233000
2016-04-25,52911.000000,54978.000000,51748.000000,53911.000000,53911.000000,21652400
2016-05-02,53910.000000,54113.000000,51204.000000,51718.000000,51718.000000,18391500
2016-05-09,51717.000000,53976.000000,49908.000000,51804.000000,51804.000000,22312300
